Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
378 (tie),Millsaps College,"Liberal Arts School, Private School, Religious",48900,94700,0.54,0.28
378 (tie),Saint Norbert College,"Liberal Arts School, Private School, Religious",48600,94700,0.49,0.15
378 (tie),University of Idaho,"Research University, For Sports Fans, State School",50300,94700,0.56,0.22
381 (tie),Centenary College of Louisiana,"Liberal Arts School, Private School, Religious",47900,94600,0.53,0.25
381 (tie),Saint Louis University,"Private School, Religious, Research University, For Sports Fans",52100,94600,0.58,0.12
383 (tie),Mount Holyoke College,"Liberal Arts School, Private School",50300,94500,0.59,0.29
383 (tie),Oglethorpe University,"Liberal Arts School, Private School",50000,94500,0.55,0.12
383 (tie),Suffolk University,"Private School, Research University",49600,94500,0.38,0.06
383 (tie),University of Kentucky,"Research University, For Sports Fans, State School",49600,94500,0.51,0.18
383 (tie),University of North Dakota,"Research University, For Sports Fans, State School",51700,94500,0.59,0.16
388 (tie),Mount Carmel College of Nursing,"Private School, Religious",55300,94400,N/A,0
388 (tie),Otis College of Art and Design,"Art, Private School",49800,94400,0.38,0
388 (tie),Saint Mary's University of Minnesota,"Private School, Religious",49800,94400,0.54,0.04
388 (tie),University of Arkansas,"Research University, For Sports Fans, State School",50200,94400,0.52,0.19
388 (tie),University of Colorado Denver/Anschutz Medical Campus,"Research University, State School",50800,94400,0.52,0.14
388 (tie),University of Nebraska-Lincoln,"Research University, For Sports Fans, State School",50000,94400,0.55,0.21
394 (tie),Montana State University,"Research University, For Sports Fans, State School",51600,94300,0.56,0.28
394 (tie),Oregon Health & Science University,State School,63600,94300,0.81,0.08
394 (tie),Washington & Jefferson College,"Liberal Arts School, Private School",47700,94300,0.41,0.21
394 (tie),Widener University,"Private School, Research University",53600,94300,0.61,0.11
398 (tie),The Juilliard School,"Art, Private School",50700,94200,N/A,0
398 (tie),Whittier College,"Liberal Arts School, Private School",47900,94200,0.56,0.08
400 (tie),Washington Adventist University,"Private School, Religious",52200,94100,0.76,0.06
400 (tie),Creighton University,"Private School, Religious, For Sports Fans",51200,94100,0.59,0.09
400 (tie),St. John's College-Department of Nursing,"Private School, Religious",50300,94100,N/A,0
403 (tie),Fairleigh Dickinson University-Metropolitan Campus,Private School,48400,94000,0.46,0.23
403 (tie),Mount St Mary's University,"Private School, Religious",47900,94000,0.48,0.09
403 (tie),Northern Illinois University,"Research University, For Sports Fans, State School",50100,94000,0.47,0.19
406 (tie),Pacific University,Private School,49700,93900,0.67,0.08
406 (tie),Sonoma State University,State School,50900,93900,0.54,0.11
408 (tie),Stevenson University,Private School,48800,93800,0.52,0.19
408 (tie),University of Colorado Colorado Springs,State School,49500,93800,0.55,0.19
408 (tie),University of Nevada-Reno,"Research University, For Sports Fans, State School",51300,93800,0.49,0.25
411 (tie),University of Texas Southwestern Medical Center,State School,53400,93700,N/A,0.19
411 (tie),University of Wyoming,"Research University, For Sports Fans, State School",51100,93700,0.58,0.23
413 (tie),Emerson College,Private School,47300,93600,0.43,0
413 (tie),Texas Tech University Health Sciences Center,State School,59900,93600,0.87,0.03
415 (tie),Bellarmine University,"Private School, Religious",47600,93500,0.52,0.07
415 (tie),Florida State University,"Research University, For Sports Fans, State School",48200,93500,0.51,0.18
415 (tie),Kansas State University,"Research University, For Sports Fans, State School",50800,93500,0.53,0.17
415 (tie),Lamar University,"Research University, For Sports Fans, State School",51800,93500,0.56,0.15
415 (tie),The University of Alabama,"Party School, Research University, For Sports Fans, State School",50200,93500,0.53,0.15
415 (tie),University of Alaska Anchorage,State School,54800,93500,0.56,0.1
421 (tie),University of Massachusetts-Dartmouth,"Research University, State School",50800,93200,0.49,0.21
421 (tie),Xavier University,"Private School, Religious, For Sports Fans",49700,93200,0.5,0.06
423 (tie),Elon University,"Private School, For Sports Fans",50300,93100,0.46,0.07
423 (tie),University of Mount Union,"Private School, Religious",46300,93100,0.5,0.17
423 (tie),Thomas Jefferson University,Private School,62400,93100,0.85,0.06
426 (tie),Abilene Christian University,"Private School, Religious, For Sports Fans",47800,93000,0.6,0.07
426 (tie),CUNY City College,State School,52000,93000,0.57,0.3
428,Christian Brothers University,"Private School, Religious",49100,92900,0.62,0.15
429 (tie),Jefferson College of Health Sciences,Private School,54200,92700,N/A,0.04
429 (tie),Le Moyne College,"Private School, Religious",48300,92700,0.54,0.17
429 (tie),Saint Josephs College,"Private School, Religious",48300,92700,0.53,0.17
432 (tie),Alfred University,Private School,50600,92600,0.48,0.19
432 (tie),Brigham Young University-Idaho,"Private School, Religious",51400,92600,0.59,0.13
432 (tie),Illinois State University,"Research University, For Sports Fans, State School",48600,92600,0.49,0.09
432 (tie),University of Minnesota-Duluth,State School,50300,92600,0.47,0.32
432 (tie),"University of St. Thomas - Houston, TX","Private School, Religious",49800,92600,0.55,0.06
437,Rutgers University-Camden,"For Sports Fans, State School",49000,92400,0.5,0.11
438 (tie),Kennesaw State University,State School,49400,92300,0.47,0.21
438 (tie),SUNY College at Geneseo,State School,49300,92300,0.51,0.26
438 (tie),Simmons College,"Private School, Sober School",51700,92300,0.57,0.03
438 (tie),Thomas Edison State University,State School,51400,92300,0.57,0
442 (tie),Molloy College,"Private School, Religious",57100,92200,0.6,0.04
442 (tie),"Westminster College - Salt Lake City, UT",Private School,50100,92200,0.57,0.08
444 (tie),Alderson Broaddus University,"Private School, Religious",50300,92100,0.76,0.15
444 (tie),Canisius College,"Private School, Religious, For Sports Fans",44900,92100,0.48,0.11
444 (tie),Kettering College,"Private School, Religious",53300,92100,N/A,0
444 (tie),Moravian College,"Liberal Arts School, Private School, Religious",50800,92100,0.46,0.16
444 (tie),University of New Mexico-Main Campus,"Research University, For Sports Fans, State School",46500,92100,0.6,0.19
449 (tie),Hawaii Pacific University,Private School,49700,92000,0.59,0.14
449 (tie),Mount Saint Mary's University,"Private School, Religious",52000,92000,0.59,0.03
449 (tie),North Central College,"Private School, Religious",47800,92000,0.49,0.08
449 (tie),Rockhurst University,"Private School, Religious",52200,92000,0.55,0.11
453 (tie),Adelphi University,"Private School, Research University",51800,91900,0.51,0.06
453 (tie),Temple University,"Research University, For Sports Fans, State School",49500,91900,0.49,0.12
453 (tie),The University of Tennessee-Knoxville,"Research University, For Sports Fans, State School",49100,91900,0.53,0.2
456 (tie),Knox College,"Liberal Arts School, Private School",47000,91800,0.49,0.24
456 (tie),Lycoming College,"Liberal Arts School, Private School, Religious",45400,91800,0.48,0.2
458 (tie),Dominican University of California,Private School,52700,91700,0.6,0.13
458 (tie),Hamline University,"Private School, Religious",46600,91700,0.53,0.05
458 (tie),Prairie View A & M University,"Research University, For Sports Fans, State School",55000,91700,0.63,0.2
461 (tie),Brigham Young University-Hawaii,"Private School, Religious",48100,91600,0.59,0.08
461 (tie),University of Nebraska Medical Center,State School,54100,91600,0.81,0.08
463 (tie),Biola University,"Private School, Religious, Research University",47500,91500,0.6,0.07
463 (tie),Calvin College,"Private School, Religious, Sober School",48000,91500,0.59,0.22
463 (tie),Towson University,"For Sports Fans, State School",48900,91500,0.49,0.14
466,Gordon College,"Liberal Arts School, Private School, Religious, Sober School",45800,91400,0.59,0.15
467 (tie),St. Thomas Aquinas College,Private School,47900,91300,0.49,0.09
467 (tie),The College of Wooster,"Liberal Arts School, Private School",48300,91300,0.55,0.28
467 (tie),The University of Texas Health Science Center at San Antonio,State School,58400,91300,0.83,0.04
467 (tie),University of Houston-Clear Lake,State School,48800,91300,0.51,0.29
471 (tie),Benedictine College,"Private School, Religious",46800,91200,0.66,0.14
471 (tie),New England Institute of Technology,Private School,48800,91200,0.42,0.17
473 (tie),California State University-Stanislaus,State School,47700,91100,0.53,0.09
473 (tie),Mississippi State University,"Research University, For Sports Fans, State School",48800,91100,0.58,0.27
473 (tie),Vaughn College of Aeronautics and Technology,Private School,52000,91100,N/A,0.06
476 (tie),Elizabethtown College,"Liberal Arts School, Private School, Religious",47500,90900,0.47,0.26
476 (tie),Lebanon Valley College,"Private School, Religious",47000,90900,0.46,0.13
476 (tie),Loyola University New Orleans,"Private School, Religious",46500,90900,0.51,0.04
476 (tie),Farmingdale State College,State School,49800,90900,0.44,0.11
476 (tie),Wilkes University,Private School,49000,90900,0.5,0.13
481 (tie),LIU Brooklyn,"Private School, For Sports Fans",55500,90800,0.68,0.07
481 (tie),University of Evansville,"Private School, Religious, For Sports Fans",48400,90800,0.65,0.15
483 (tie),LIU Post,Private School,49000,90700,0.5,0.05
483 (tie),Ohio University-Main Campus,"Research University, For Sports Fans, State School",49000,90700,0.49,0.1
483 (tie),The University of Texas at El Paso,"Research University, For Sports Fans, State School",47100,90700,0.62,0.22
486 (tie),Excelsior College,Private School,55100,90600,0.71,0.01
486 (tie),SUNY College at Old Westbury,State School,46400,90600,0.43,0.06
486 (tie),Saint Edward's University,"Private School, Religious",46700,90600,0.49,0.08
486 (tie),Xavier University of Louisiana,"Private School, Religious, Sober School",47500,90600,0.66,0.35
490 (tie),King's College,"Private School, Religious",45600,90500,0.45,0.12
490 (tie),Oakland University,"Research University, For Sports Fans, State School",49800,90500,0.52,0.16
490 (tie),Western Michigan University,"Research University, For Sports Fans, State School",48700,90500,0.49,0.15
493 (tie),Duquesne University,"Private School, Religious, Research University, For Sports Fans",50200,90400,0.51,0.11
493 (tie),Framingham State University,State School,47200,90400,0.44,0.05
495 (tie),University of Louisiana at Lafayette,"Research University, For Sports Fans, State School",46900,90300,0.54,0.18
495 (tie),William Paterson University of New Jersey,State School,48300,90300,0.43,0.06
497 (tie),Central Washington University,State School,49500,90200,0.48,0.13
497 (tie),William Jewell College,"Liberal Arts School, Private School",48800,90200,0.61,0.12
499 (tie),Bard College,"Liberal Arts School, Private School",49400,90100,0.52,0
499 (tie),CUNY New York City College of Technology,State School,48700,90100,0.41,0.16
499 (tie),Pacific Union College,"Liberal Arts School, Private School, Religious",54500,90100,0.5,0.1
499 (tie),University of Maine,"Party School, Research University, For Sports Fans, State School",49700,90100,0.52,0.24
499 (tie),Walla Walla University,"Private School, Religious",51200,90100,0.57,0.2
504 (tie),Central Connecticut State University,"For Sports Fans, State School",50600,90000,0.47,0.14
504 (tie),Philadelphia University,Private School,46700,90000,0.35,0.04
504 (tie),Tennessee Technological University,"Research University, For Sports Fans, State School",51600,90000,0.5,0.26
504 (tie),Tuskegee University,Private School,51400,90000,0.68,0.34
508 (tie),Lynchburg College,"Private School, Religious",46700,89900,0.61,0.11
508 (tie),Washington College,"Liberal Arts School, Private School",50800,89900,0.58,0.21
508 (tie),West Chester University of Pennsylvania,State School,47300,89900,0.49,0.09
508 (tie),"Westminster College - New Wilmington, PA","Liberal Arts School, Private School, Religious",45800,89900,0.52,0.16
512,Holy Family University,"Private School, Religious",49000,89800,0.46,0.02
513 (tie),Carroll College,"Private School, Religious",46400,89700,0.51,0.25
513 (tie),North Carolina A & T State University,"Research University, For Sports Fans, State School",50800,89700,0.6,0.27
515 (tie),California State University-San Marcos,State School,48400,89600,0.47,0.06
515 (tie),Dunwoody College of Technology,Private School,49200,89600,N/A,0.19
517 (tie),Amberton University,"Private School, Religious",51600,89500,0.63,0
517 (tie),Johnson & Wales University-Online,"Business, Private School",48700,89500,N/A,0
517 (tie),SUNY College of Environmental Science and Forestry,"Research University, State School",50500,89500,0.62,0.43
517 (tie),Sewanee-The University of the South,"Liberal Arts School, Private School, Religious",47000,89500,0.46,0.14
517 (tie),University of Wisconsin-Eau Claire,State School,49500,89500,0.48,0.14
522,The College of Idaho,"Liberal Arts School, Private School",44800,89400,0.49,0.18
523 (tie),National University,Private School,52700,89300,0.55,0.07
523 (tie),University of Pittsburgh-Johnstown,"Liberal Arts School, State School",47700,89300,0.57,0.17
525 (tie),Marietta College,Private School,50100,89200,0.56,0.39
525 (tie),Southwestern University,"Liberal Arts School, Private School, Religious",51600,89200,0.54,0.19
525 (tie),University of South Florida-Main Campus,"Research University, For Sports Fans, State School",47200,89200,0.52,0.24
528 (tie),Embry-Riddle Aeronautical University-Worldwide,Private School,57000,89100,0.72,0.01
528 (tie),Florida International University,"Research University, For Sports Fans, State School",47300,89100,0.51,0.16
528 (tie),St Francis College,"Private School, For Sports Fans",50100,89100,0.55,0.16
531 (tie),California State University-Los Angeles,State School,47800,89000,0.54,0.18
531 (tie),The University of Tampa,Private School,46800,89000,0.46,0.08
531 (tie),Utah Valley University,"For Sports Fans, State School",48200,89000,0.54,0.1
534 (tie),Old Dominion University,"Research University, For Sports Fans, State School",47800,88900,0.53,0.19
534 (tie),Rowan University,"Research University, State School",49200,88900,0.45,0.18
534 (tie),University of Massachusetts-Boston,"Research University, State School",50900,88900,0.55,0.12
534 (tie),University of Toledo,"Research University, For Sports Fans, State School",49900,88900,0.54,0.19
538,New College of Florida,"Liberal Arts School, State School",45900,88800,0.56,0
539 (tie),Bloomsburg University of Pennsylvania,State School,47200,88700,0.51,0.08
539 (tie),Stockton University,State School,45400,88700,0.49,0.13
539 (tie),University of Nevada-Las Vegas,"Research University, For Sports Fans, State School",49000,88700,0.49,0.11
542 (tie),City University of Seattle,"Business, Private School",49000,88600,0.53,0.02
542 (tie),University of Mississippi,"Party School, Research University, For Sports Fans, State School",47000,88600,0.57,0.11
544 (tie),Purdue University-Calumet Campus,State School,49100,88500,0.58,0.14
544 (tie),Salisbury University,State School,48200,88500,0.49,0.13
544 (tie),Weber State University,"For Sports Fans, State School",52500,88500,0.62,0.08
547,University of North Carolina at Charlotte,"Research University, For Sports Fans, State School",49900,88400,0.51,0.25
548 (tie),SUNY Polytechnic Institute,State School,49100,88300,0.51,0.3
548 (tie),Truman State University,State School,46600,88300,0.53,0.14
548 (tie),Wayne State University,"Research University, State School",48800,88300,0.55,0.19
551,Texas State University,"Research University, For Sports Fans, State School",47400,88200,0.51,0.1
552 (tie),California State University-Channel Islands,State School,48000,88100,0.53,0.15
552 (tie),Point Loma Nazarene University,"Private School, Religious",48700,88100,0.6,0.09
552 (tie),Texas A & M University-Corpus Christi,"Research University, For Sports Fans, State School",47900,88100,0.6,0.15
552 (tie),University of North Texas,"Research University, For Sports Fans, State School",47400,88100,0.46,0.12
556 (tie),CUNY Hunter College,State School,49300,88000,0.55,0.08
556 (tie),California State University-Bakersfield,"For Sports Fans, State School",48400,88000,0.58,0.14
556 (tie),Concordia University-Irvine,"Private School, Religious",47400,88000,0.56,0.02
556 (tie),Holy Names University,"Private School, Religious",49000,88000,0.76,0.02
556 (tie),Randolph-Macon College,"Liberal Arts School, Private School, Religious",44800,88000,0.42,0.25
556 (tie),The Master's University and Seminary,"Private School, Religious",45600,88000,N/A,0.08
556 (tie),Woodbury University,Private School,46900,88000,0.45,0
563 (tie),Bowie State University,State School,48800,87900,0.63,0.14
563 (tie),Emmanuel College,"Liberal Arts School, Private School, Religious",48000,87900,0.53,0.15
563 (tie),Saint Cloud State University,State School,48900,87900,0.51,0.12
566 (tie),Berry College,Private School,43100,87800,0.49,0.22
566 (tie),Georgia State University,"Research University, For Sports Fans, State School",47700,87800,0.48,0.16
566 (tie),Shippensburg University of Pennsylvania,State School,46800,87800,0.44,0.1
569 (tie),Fitchburg State University,State School,45800,87700,0.48,0.11
569 (tie),Linfield College-McMinnville Campus,"Liberal Arts School, Private School, Religious",49600,87700,0.56,0.19
569 (tie),Oklahoma Christian University,"Private School, Religious",48500,87700,0.55,0.34
572 (tie),Earlham College,"Liberal Arts School, Private School, Religious",47200,87600,0.64,0.22
572 (tie),LeTourneau University,"Private School, Religious",55800,87600,0.6,0.24
572 (tie),New England College,Private School,43000,87600,0.38,0.04
572 (tie),Stetson University,"Private School, For Sports Fans",46000,87600,0.46,0.07
577 (tie),Saint Francis University,"Private School, Religious, For Sports Fans",46500,87500,0.51,0.09
577 (tie),Upstate Medical University,State School,53700,87500,0.78,0.05
577 (tie),University of Hawaii at Manoa,"Research University, For Sports Fans, State School",49200,87500,0.57,0.17
580 (tie),Florida Atlantic University,"Research University, For Sports Fans, State School",47100,87400,0.52,0.14
580 (tie),Neumann University,"Private School, Religious",48400,87400,0.51,0.04
580 (tie),Salve Regina University,"Private School, Religious",51100,87400,0.52,0.06
580 (tie),Southern Illinois University-Carbondale,"Research University, For Sports Fans, State School",48300,87400,0.56,0.16
580 (tie),University of New Haven,Private School,50200,87400,0.56,0.23
585 (tie),Humboldt State University,State School,45800,87300,0.56,0.18
585 (tie),New York School of Interior Design,"Art, Private School",47800,87300,N/A,0
585 (tie),University of South Carolina-Columbia,"Research University, For Sports Fans, State School",47900,87300,0.52,0.19
588 (tie),Hampton University,"Private School, For Sports Fans",51400,87200,0.62,0.13
588 (tie),"University of Maryland, Baltimore",State School,59500,87200,0.75,0.04
590 (tie),Augustana College,"Liberal Arts School, Private School, Religious",46000,87100,0.49,0.29
590 (tie),Loras College,"Private School, Religious",44600,87100,0.55,0.15
590 (tie),Minnesota State University-Mankato,State School,49200,87100,0.56,0.11
590 (tie),Saint Martin's University,"Private School, Religious",49700,87100,0.59,0.22
594 (tie),Benedictine University,"Private School, Religious, Research University",48800,87000,0.56,0.06
594 (tie),Cornell College,"Liberal Arts School, Private School, Religious",45900,87000,0.49,0.27
594 (tie),Messiah College,"Private School, Religious",48400,87000,0.57,0.12
594 (tie),Transylvania University,"Liberal Arts School, Private School, Religious",47300,87000,0.56,0.22
594 (tie),Trine University,Private School,52400,87000,0.53,0.36
594 (tie),University of North Florida,"For Sports Fans, State School",46000,87000,0.51,0.12
600 (tie),Regis University,"Private School, Religious",54200,86900,0.57,0.15
600 (tie),SUNY at Purchase College,"Liberal Arts School, State School",46300,86900,0.4,0.06
600 (tie),Spelman College,"Liberal Arts School, Private School",49600,86900,0.59,0.2
600 (tie),University of Nebraska at Omaha,"Research University, For Sports Fans, State School",47600,86900,0.53,0.15
600 (tie),University of Wisconsin-Milwaukee,"Research University, For Sports Fans, State School",48500,86900,0.52,0.16
605 (tie),California State University-San Bernardino,State School,46400,86800,0.57,0.09
605 (tie),College of Saint Benedict,"Liberal Arts School, Private School, Religious",47400,86800,0.51,0.19
605 (tie),Nichols College,"Business, Private School",48200,86800,0.43,0
605 (tie),University of New Hampshire at Manchester,"Liberal Arts School, State School",49600,86800,0.51,0.28
609 (tie),Kean University,State School,46300,86700,0.51,0.1
609 (tie),SUNY Oneonta,State School,44600,86700,0.4,0.12
609 (tie),University of Houston-Downtown,State School,48700,86700,0.49,0.06
609 (tie),University of Washington-Tacoma Campus,State School,52800,86700,0.58,0.19
613 (tie),Mount Saint Mary College,"Private School, Religious, For Sports Fans",50900,86600,0.57,0.07
613 (tie),Thomas More College,"Private School, Religious",48100,86600,0.52,0.1
613 (tie),University of Central Florida,"Research University, For Sports Fans, State School",47400,86600,0.51,0.17
613 (tie),University of South Dakota,"Research University, For Sports Fans, State School",47000,86600,0.59,0.08
617 (tie),Alma College,"Liberal Arts School, Private School, Religious",47200,86500,0.59,0.17
617 (tie),Birmingham Southern College,"Liberal Arts School, Private School, Religious",47400,86500,0.53,0.25
617 (tie),University of Houston-Victoria,State School,47700,86500,0.57,0.12
617 (tie),University of Missouri-Kansas City,"Research University, For Sports Fans, State School",49000,86500,0.54,0.24
621 (tie),Allen College,Private School,51200,86400,N/A,0
621 (tie),Beloit College,"Liberal Arts School, Private School",47000,86400,0.59,0.2
621 (tie),Eastern Illinois University,"For Sports Fans, State School",44200,86400,0.5,0.06
621 (tie),Lincoln University of Pennsylvania,State School,48700,86400,0.71,0.1
621 (tie),Monmouth College,"Liberal Arts School, Private School, Religious",45800,86400,0.48,0.18
621 (tie),Saint Xavier University,"Private School, Religious",47700,86400,0.63,0.09
621 (tie),University of Bridgeport,Private School,47800,86400,0.58,0.27
628 (tie),Elmhurst College,"Private School, Religious",48000,86300,0.49,0.11
628 (tie),Marymount University,"Private School, Religious",49600,86300,0.47,0.13
630 (tie),Cedarville University,"Private School, Religious",49200,86200,0.59,0.17
630 (tie),University of New England,Private School,49300,86200,0.74,0.09
632 (tie),"Bethany College - Bethany, WV","Liberal Arts School, Private School, Religious",44500,86100,0.62,0.14
632 (tie),Saint Mary's College,"Liberal Arts School, Private School, Religious",48500,86100,0.52,0.16
632 (tie),Samford University,"Private School, Religious, For Sports Fans",47100,86100,0.54,0.03
632 (tie),University of Wisconsin-Stout,State School,48200,86100,0.48,0.13
636 (tie),Bowling Green State University-Main Campus,"Research University, For Sports Fans, State School",45300,86000,0.48,0.11
636 (tie),CUNY John Jay College of Criminal Justice,State School,44000,86000,0.51,0.01
636 (tie),Central College,"Liberal Arts School, Private School, Religious",47000,86000,0.65,0.33
636 (tie),Gannon University,"Private School, Religious",49500,86000,0.65,0.25
636 (tie),Idaho State University,"Research University, For Sports Fans, State School",50300,86000,0.64,0.13
636 (tie),Stephen F Austin State University,"For Sports Fans, State School",45300,86000,0.57,0.05
636 (tie),University of Louisiana at Monroe,"Research University, For Sports Fans, State School",47000,86000,0.63,0.07
636 (tie),University of Wisconsin-La Crosse,State School,46800,86000,0.54,0.19
636 (tie),Whitworth University,"Private School, Religious",47000,86000,0.54,0.2
645 (tie),Doane University-Arts & Sciences,"Liberal Arts School, Private School",46900,85900,0.44,0.19
645 (tie),Robert Morris University,"Private School, Research University, For Sports Fans",48000,85900,0.42,0.2
647 (tie),Bennington College,"Liberal Arts School, Private School",45200,85800,0.4,0.05
647 (tie),Boston Architectural College,Private School,48100,85800,0.57,0
647 (tie),Juniata College,"Liberal Arts School, Private School",48400,85800,0.58,0.33
647 (tie),University of Indianapolis,"Private School, Religious",47000,85800,0.63,0.05
647 (tie),University of Wisconsin-Whitewater,State School,46700,85800,0.45,0.07
647 (tie),Western Governors University,Private School,52300,85800,0.56,0.1
653 (tie),Hastings College,"Private School, Religious",45800,85700,0.62,0.22
653 (tie),Mills College,"Private School, Sober School",48200,85700,0.54,0.06
653 (tie),Newman University,"Private School, Religious",48000,85700,0.7,0.09
653 (tie),Southern Illinois University-Edwardsville,"For Sports Fans, State School",48700,85700,0.51,0.22
653 (tie),University of Maryland Eastern Shore,"Research University, For Sports Fans, State School",46400,85700,0.7,0.17
653 (tie),York College Pennsylvania,Private School,49500,85700,0.45,0.11
659 (tie),California State University-Dominguez Hills,State School,46900,85600,0.59,0.05
659 (tie),Clarkson College,"Private School, Religious",50000,85600,0.73,0
659 (tie),Edgewood College,"Private School, Religious, Research University",47200,85600,0.54,0.06
659 (tie),Lipscomb University,"Private School, Religious, Research University, For Sports Fans",47000,85600,0.63,0.1
663 (tie),Principia College,"Liberal Arts School, Private School",49500,85500,0.55,0.19
663 (tie),South Dakota State University,"Research University, For Sports Fans, State School",48700,85500,0.59,0.16
665 (tie),Cabrini University,"Private School, Religious",46100,85400,0.48,0.04
665 (tie),Eckerd College,"Liberal Arts School, Private School, Religious",46300,85400,0.52,0.25
665 (tie),Louisiana State University Health Sciences Center-New Orleans,State School,51300,85400,N/A,0.03
665 (tie),Lynn University,"Business, Private School",44300,85400,0.38,0.02
665 (tie),Roger Williams University,Private School,50700,85400,0.49,0.12
665 (tie),Thomas Aquinas College,"Liberal Arts School, Private School, Religious, Sober School",47000,85400,N/A,0
665 (tie),University of New Orleans,"Research University, For Sports Fans, State School",48800,85400,0.57,0.24
665 (tie),University of Saint Mary,"Private School, Religious",46300,85400,0.54,0.07
673 (tie),Coe College,"Liberal Arts School, Private School, Religious",46800,85300,0.44,0.19
673 (tie),Medical University of South Carolina,State School,56900,85300,0.91,0.05
673 (tie),Texas A & M University-Kingsville,"Engineering, Research University, State School",50700,85300,0.64,0.55
673 (tie),University of Louisville,"Research University, For Sports Fans, State School",48500,85300,0.5,0.18
673 (tie),Winona State University,State School,47100,85300,0.53,0.11
678 (tie),Augsburg College,"Private School, Religious",47600,85200,0.54,0.08
678 (tie),Carthage College,"Liberal Arts School, Private School, Religious",47100,85200,0.47,0.16
678 (tie),Curry College,Private School,47400,85200,0.57,0.02
678 (tie),Manhattan School of Music,"Art, Private School",49700,85200,N/A,0
678 (tie),Northern Arizona University,"Research University, For Sports Fans, State School",47300,85200,0.57,0.12
678 (tie),Ripon College,"Liberal Arts School, Private School",44800,85200,0.59,0.28
678 (tie),Trinity Washington University,"Private School, Religious",46700,85200,N/A,0.04
678 (tie),University of Northern Colorado,"Research University, For Sports Fans, State School",45600,85200,0.54,0.07
686 (tie),Azusa Pacific University,"Private School, Religious, Research University",47900,85100,0.6,0.03
686 (tie),Ottawa University-Ottawa,"Private School, Religious",49700,85100,0.57,0.1
686 (tie),SUNY College at Oswego,State School,43600,85100,0.45,0.1
686 (tie),Sam Houston State University,"Research University, For Sports Fans, State School",47400,85100,0.5,0.06
686 (tie),Southwestern Oklahoma State University,State School,45200,85100,0.57,0.06
691 (tie),Alaska Pacific University,"Private School, Religious",49000,85000,N/A,0.07
691 (tie),Franklin College,"Liberal Arts School, Private School, Religious",46100,85000,0.43,0.23
691 (tie),The King?s College,"Liberal Arts School, Private School, Religious",47800,85000,N/A,0
691 (tie),Western Connecticut State University,State School,48300,85000,0.51,0.07
691 (tie),Wright State University-Main Campus,"Research University, For Sports Fans, State School",48200,85000,0.51,0.31
696 (tie),College for Creative Studies,"Art, Private School",48300,84900,0.44,0
696 (tie),Pennsylvania State University-Penn State Berks,"Liberal Arts School, State School",46600,84900,0.34,0.38
698,Portland State University,"Research University, For Sports Fans, State School",48000,84800,0.49,0.14
699 (tie),Barnes-Jewish College Goldfarb School of Nursing,Private School,53600,84700,0.79,0
699 (tie),Campbell University,"Private School, Religious, For Sports Fans",44700,84700,0.57,0.09
699 (tie),Chaminade University of Honolulu,"Private School, Religious",44900,84700,0.61,0.04
699 (tie),Harding University,"Private School, Religious",46800,84700,0.51,0.11
699 (tie),John F. Kennedy University,Private School,48700,84700,N/A,0
699 (tie),Roosevelt University,Private School,45700,84700,0.48,0.1
699 (tie),University of Baltimore,State School,49900,84700,0.56,0.02
706 (tie),Adventist University of Health Sciences,"Private School, Religious",53400,84600,0.93,0.06
706 (tie),Hope College,"Liberal Arts School, Private School, Religious",46900,84600,0.57,0.23
706 (tie),Missouri State University-Springfield,"For Sports Fans, State School",43900,84600,0.5,0.08
706 (tie),Nebraska Methodist College of Nursing & Allied Health,"Private School, Religious",51300,84600,0.9,0
706 (tie),Northern Kentucky University,"For Sports Fans, State School",46500,84600,0.44,0.1
711 (tie),Augustana University,"Private School, Religious",45600,84500,0.57,0.15
711 (tie),George Fox University,"Private School, Religious",50100,84500,0.55,0.08
711 (tie),Houston Baptist University,"Private School, Religious, For Sports Fans",47400,84500,0.63,0.08
711 (tie),Indiana Institute of Technology,"Business, Private School",49800,84500,0.49,0.12
711 (tie),Our Lady of the Lake College,"Private School, Religious",48900,84500,N/A,0
711 (tie),The University of Montana,"Research University, For Sports Fans, State School",44600,84500,0.54,0.09
717 (tie),"Bethel University - Saint Paul, MN","Private School, Religious",48300,84400,0.63,0.06
717 (tie),Indiana University-Purdue University-Indianapolis,"Research University, For Sports Fans, State School",48600,84400,0.56,0.13
717 (tie),St. Joseph's College-New York,Private School,45300,84400,0.59,0.07
720 (tie),Bloomfield College,"Liberal Arts School, Private School, Religious",46500,84300,0.54,0.13
720 (tie),Pennsylvania State University-Penn State York,State School,48900,84300,N/A,0.23
720 (tie),Rollins College,Private School,47600,84300,0.53,0.11
720 (tie),Virginia Commonwealth University,"Research University, For Sports Fans, State School",47800,84300,0.53,0.17
724 (tie),Daemen College,Private School,44600,84200,0.7,0.01
724 (tie),Frostburg State University,State School,47100,84200,0.52,0.14
724 (tie),University of North Georgia,State School,44300,84200,0.56,0.09
724 (tie),Nova Southeastern University,"Private School, Research University",49400,84200,0.61,0.09
724 (tie),Saint Vincent College,"Liberal Arts School, Private School, Religious",47100,84200,0.59,0.19
724 (tie),University of Akron Main Campus,"Research University, For Sports Fans, State School",48900,84200,0.51,0.19
