Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
986 (tie),Southern Oregon University,State School,43500,78000,0.55,0.06
989 (tie),Grand Valley State University,State School,45200,77900,0.52,0.1
989 (tie),Grand View University,"Private School, Religious",43800,77900,0.51,0.1
989 (tie),Southeastern Louisiana University,"For Sports Fans, State School",44500,77900,0.53,0.07
992 (tie),Pacific Northwest College of Art,"Art, Private School",43800,77800,N/A,0
992 (tie),Southern Adventist University,"Private School, Religious",45500,77800,0.7,0.09
992 (tie),Southwestern College,"Private School, Religious",46400,77800,0.57,0.11
995 (tie),Oakwood University,"Private School, Religious",43900,77700,0.68,0.18
995 (tie),University of Southern Maine,State School,45600,77700,0.56,0.09
995 (tie),Waynesburg University,"Private School, Religious",44800,77700,0.56,0.07
995 (tie),Winthrop University,"For Sports Fans, State School",42500,77700,0.49,0.09
999 (tie),Albertus Magnus College,"Business, Private School, Religious",49400,77600,0.6,0.01
999 (tie),Dillard University,"Liberal Arts School, Private School, Religious",45500,77600,0.71,0.16
999 (tie),Ringling College of Art and Design,"Art, Private School",44800,77600,0.43,0
1002 (tie),Marymount California University,"Private School, Religious",48200,77500,0.37,0
1002 (tie),Morningside College,"Private School, Religious",43400,77500,0.6,0.08
1002 (tie),University of Central Oklahoma,State School,43700,77500,0.56,0.07
1005 (tie),Cornish College of the Arts,"Art, Private School",46800,77400,0.39,0
1005 (tie),Lake Erie College,Private School,41900,77400,0.6,0.11
1005 (tie),"Marian University - Indianapolis, IN","Private School, Religious",48200,77400,0.57,0.05
1005 (tie),Moore College of Art and Design,"Art, Private School",40600,77400,0.35,0
1005 (tie),Morgan State University,"Research University, For Sports Fans, State School",48800,77400,0.59,0.19
1005 (tie),Trinity Christian College,"Private School, Religious",45400,77400,0.58,0.05
1005 (tie),Washburn University,State School,45700,77400,0.54,0.04
1012 (tie),Louisiana State University-Shreveport,State School,43600,77300,0.5,0.12
1012 (tie),Nyack College,"Private School, Religious",43900,77300,0.62,0.01
1012 (tie),Ottawa University-Kansas City,"Business, Private School, Religious",46000,77300,N/A,0.02
1012 (tie),SUNY Empire State College,State School,45900,77300,0.55,0.05
1012 (tie),Saginaw Valley State University,State School,44900,77300,0.51,0.12
1017 (tie),Andrews University,"Private School, Religious, Research University",45300,77200,0.65,0.07
1017 (tie),Georgian Court University,"Private School, Religious",43400,77200,0.53,0.07
1017 (tie),North Park University,"Private School, Religious",45400,77200,0.58,0.05
1017 (tie),Southeastern Oklahoma State University,State School,44500,77200,0.57,0.18
1017 (tie),Sweet Briar College,"Liberal Arts School, Private School",45400,77200,0.53,0.28
1017 (tie),University of North Carolina Wilmington,"For Sports Fans, State School",44300,77200,0.5,0.17
1023 (tie),Alabama A & M University,"For Sports Fans, State School",47000,77100,0.57,0.19
1023 (tie),Concordia University-Chicago,"Private School, Religious",44600,77100,0.61,0.01
1023 (tie),East Central University,State School,43900,77100,0.63,0.09
1023 (tie),Geneva College,"Private School, Religious",45500,77100,0.64,0.17
1023 (tie),Texas Woman's University,"Research University, State School",47200,77100,0.7,0.04
1023 (tie),University of Nebraska at Kearney,State School,42500,77100,0.53,0.08
1029 (tie),"Aquinas College - Nashville, TN","Private School, Religious",43700,77000,N/A,0
1029 (tie),Franciscan University of Steubenville,"Private School, Religious",45400,77000,0.6,0.07
1029 (tie),Murray State University,"For Sports Fans, State School",43300,77000,0.56,0.1
1029 (tie),Rockford University,Private School,45300,77000,0.65,0.1
1029 (tie),Southwestern Adventist University,"Private School, Religious",44100,77000,N/A,0.07
1034 (tie),Davis & Elkins College,"Liberal Arts School, Private School, Religious",41700,76900,0.47,0.07
1034 (tie),Colorado Mesa University,State School,45700,76900,0.56,0.09
1034 (tie),Thomas College,Private School,45700,76900,0.35,0.05
1037 (tie),Lock Haven University,State School,41700,76800,0.55,0.08
1037 (tie),Marshall University,"For Sports Fans, State School",42900,76800,0.51,0.09
1037 (tie),University of Minnesota-Crookston,State School,46700,76800,0.49,0.02
1040 (tie),Belmont Abbey College,"Private School, Religious",45200,76700,0.43,0.04
1040 (tie),Concordia University-Texas,"Private School, Religious",46000,76700,0.56,0.05
1040 (tie),University of Saint Francis-Fort Wayne,"Private School, Religious",43800,76700,0.68,0.04
1043 (tie),Cardinal Stritch University,"Business, Private School, Religious, Research University",48900,76600,0.52,0.02
1043 (tie),Clark Atlanta University,"Private School, Religious, Research University",45500,76600,0.56,0.15
1043 (tie),Rocky Mountain College,"Private School, Religious",43700,76600,0.57,0.11
1043 (tie),University of South Carolina-Upstate,"For Sports Fans, State School",44100,76600,0.52,0.1
1047 (tie),University of North Carolina School of the Arts,"Art, State School",44600,76500,0.47,0
1047 (tie),Texas Southern University,"Research University, For Sports Fans, State School",45100,76500,0.62,0.1
1049 (tie),Delaware Valley University,Private School,43900,76400,0.56,0.17
1049 (tie),Valdosta State University,"Research University, State School",40500,76400,0.59,0.07
1051 (tie),Avila University,"Private School, Religious",45700,76300,0.7,0.03
1051 (tie),Northwestern State University of Louisiana,"For Sports Fans, State School",44600,76300,0.64,0.07
1051 (tie),Our Lady of the Lake University,"Private School, Religious",44900,76300,0.57,0.07
1051 (tie),Tarleton State University,State School,44300,76300,0.6,0.09
1051 (tie),Virginia State University,State School,43400,76300,0.63,0.11
1056 (tie),Husson University,Private School,43400,76100,0.55,0.02
1056 (tie),Kentucky Wesleyan College,"Private School, Religious",41300,76100,0.69,0.26
1056 (tie),South Carolina State University,"For Sports Fans, State School",42900,76100,0.74,0.13
1056 (tie),Universidad del Sagrado Corazon,"Private School, Religious",42100,76100,0.61,0.06
1060 (tie),Concordia University-Wisconsin,"Private School, Religious",45400,76000,0.61,0.07
1060 (tie),Florida Southern College,"Private School, Religious",43900,76000,0.57,0.15
1060 (tie),Southern Arkansas University Main Campus,State School,41400,76000,0.55,0.25
1060 (tie),University of Wisconsin-Stevens Point,State School,43600,76000,0.56,0.14
1064 (tie),Adrian College,"Private School, Religious",42100,75900,0.54,0.12
1064 (tie),Northern Michigan University,State School,43400,75900,0.49,0.11
1064 (tie),Quincy University,"Private School, Religious",42400,75900,0.51,0.13
1064 (tie),Texas A & M International University,State School,41900,75900,0.62,0.14
1068,California University of Pennsylvania,State School,42700,75800,0.48,0.06
1069 (tie),Endicott College,Private School,47800,75700,0.39,0.03
1069 (tie),Methodist University,"Private School, Religious",44200,75700,0.58,0.12
1069 (tie),Middle Tennessee State University,"Research University, For Sports Fans, State School",44900,75700,0.54,0.09
1069 (tie),University of South Florida-St Petersburg,State School,43800,75700,0.59,0.1
1069 (tie),Warren Wilson College,"Liberal Arts School, Private School",42100,75700,0.76,0.09
1074 (tie),Auburn University at Montgomery,State School,42900,75600,0.62,0.06
1074 (tie),Wayland Baptist University,"Private School, Religious",46400,75600,0.68,0.01
1076,Eureka College,"Private School, Religious",42500,75500,0.51,0.11
1077 (tie),Georgia College and State University,State School,44400,75400,0.56,0.1
1077 (tie),Lyon College,"Liberal Arts School, Private School, Religious",40600,75400,0.58,0.38
1077 (tie),Tabor College,"Private School, Religious",44700,75400,0.65,0.06
1077 (tie),University of Dubuque,"Private School, Religious",42000,75400,0.51,0.07
1077 (tie),University of Michigan-Flint,State School,45500,75400,0.54,0.18
1082 (tie),Maryville University of Saint Louis,"Private School, Research University",45900,75300,0.54,0.02
1082 (tie),Oklahoma Baptist University,"Private School, Religious",43600,75300,0.65,0.07
1082 (tie),Southern Nazarene University,"Private School, Religious",44900,75300,0.62,0.04
1082 (tie),Trevecca Nazarene University,"Private School, Religious, Research University",44300,75300,0.6,0.05
1086 (tie),Independence University,Private School,42200,75200,N/A,0.01
1086 (tie),Mansfield University of Pennsylvania,State School,42300,75200,0.57,0.08
1086 (tie),Mississippi College,"Private School, Religious",44800,75200,0.58,0.19
1089 (tie),Becker College,Private School,44900,75100,0.59,0.01
1089 (tie),Catawba College,Private School,42600,75100,0.57,0.13
1089 (tie),Dickinson State University,State School,45200,75100,0.56,0.08
1089 (tie),MacMurray College,"Private School, Religious",44300,75100,0.8,0.08
1089 (tie),Mayville State University,State School,41900,75100,0.55,0.08
1089 (tie),Southeast Missouri State University,"For Sports Fans, State School",42500,75100,0.52,0.08
1089 (tie),Southern Vermont College,Private School,43500,75100,0.58,0.11
